ds,yhat,yhat_lower,yhat_upper
2024-06-01,277849.55065882846,164790.47000718757,394890.72795320273
2024-07-01,647527.8553859561,525858.1526242811,765254.0378953076
2024-08-01,876824.0563361361,759727.4635212178,987628.5036629445
2024-09-01,624053.9924490192,510936.004214436,737577.1296238747
2024-10-01,697044.9135705602,577732.4108391511,813802.2956557197
2024-11-01,625658.9312220627,507874.0934877147,736179.6070304761
2024-12-01,644802.5584293075,529137.8705414849,754187.106058629
2025-01-01,578110.6224461345,467202.9023589548,695334.1692718839
2025-02-01,888861.0744882391,781539.2259313605,1006231.5505917481
2025-03-01,594266.4113584844,481324.46513110306,711034.4533322735
2025-04-01,587937.9193030837,465530.7141397711,703537.4620226456
2025-05-01,809073.8858328757,695058.1440924224,928914.188003137
2025-06-01,562164.2095362422,447344.0685727462,677152.9485290999
2025-07-01,958984.2190940847,850670.5879944826,1079542.3308745609
2025-08-01,692812.0754261306,575904.2029192321,810316.518323746
2025-09-01,669566.8910007544,542958.6483097792,783135.5805255043
2025-10-01,677520.6987903588,561662.4363774951,795881.2834516509
2025-11-01,644182.1195251378,523412.3323921303,761671.6807981015
2025-12-01,1070561.5369199074,955697.8258880045,1194157.3239927986
2026-01-01,629404.7925358518,514277.82866862824,753480.0138071472
2026-02-01,773660.7796559383,657246.459104034,897749.9909162773
2026-03-01,690447.3860780082,573763.9163383497,798376.0187467054
2026-04-01,754672.4613390007,636330.5903005501,873769.3672094314
2026-05-01,648561.6227539412,532058.3231219726,761614.9220360138
2026-06-01,851872.695563165,733098.471701883,967573.1329626983
2026-07-01,1263713.2912170785,1151280.566932212,1378894.1925606318
2026-08-01,503566.15649898193,392147.25287439686,623617.2383590481
2026-09-01,716133.4062906334,603144.8449012737,829180.3904794322
2026-10-01,660338.0394845286,544537.1995896151,779102.918802892
2026-11-01,669367.4878909047,551614.3835823525,798134.7347999376
2026-12-01,1495722.1724601788,1377590.777386172,1617460.753882337
2027-01-01,673093.0216807075,558463.1476438651,788703.5982730631
2027-02-01,656834.7318066421,547515.5674784099,776159.9010248703
2027-03-01,789737.3539209404,680460.0257468728,906248.3828452245
2027-04-01,920161.5888582915,796486.3737306864,1031766.7292453904
2027-05-01,491211.7430957287,369949.64030194515,608355.7692176183
2027-06-01,1146721.458531246,1023605.2385212512,1265447.0304316531
